类型,WindCode,时间,前收盘价,开盘价,最高价,最低价,最新价,申卖价1,申卖量1,申卖价2,申卖量2,申卖价3,申卖量3,申卖价4,申卖量4,申卖价5,申卖量5,申卖价6,申卖量6,申卖价7,申卖量7,申卖价8,申卖量8,申卖价9,申卖量9,申卖价10,申卖量10,申买价1,申买量1,申买价2,申买量2,申买价3,申买量3,申买价4,申买量4,申买价5,申买量5,申买价6,申买量6,申买价7,申买量7,申买价8,申买量8,申买价9,申买量9,申买价10,申买量10,涨停价,跌停价,成交总量,成交总金额
stock,600000.SH,2016-05-04 09:30:02.000000,18.12,18.06,18.06,18.05,18.06,18.06,1700,18.08,10000,18.1,800,18.12,30039,18.13,53500,18.14,28700,18.15,17900,18.16,1000,18.17,1000,18.18,7100,18.05,5500,18.03,2000,18.02,5200,18.01,27200,18.0,66700,17.99,200,17.98,3200,17.97,2700,17.96,22300,17.95,11400,19.93,16.31,75800,136
stock,000001.SZ,2016-05-04 09:30:01.010000,10.68,10.68,10.68,10.68,10.68,10.68,50943,10.69,161100,10.7,82000,10.71,114800,10.72,111000,10.73,60600,10.74,94000,10.75,112393,10.76,121900,10.77,74400,10.67,116400,10.66,114900,10.65,25800,10.64,115600,10.63,41600,10.62,62100,10.61,128100,10.6,135800,10.59,67900,10.58,174700,11.75,9.61,758000,809
stock,600000.SH,2016-05-04 09:30:04.000000,18.12,18.06,18.08,18.02,18.03,18.03,200,18.05,7300,18.06,3200,18.08,5200,18.1,2700,18.11,11200,18.12,30139,18.13,3000,18.14,17200,18.15,25300,18.02,48800,18.01,44100,18.0,96400,17.99,1200,17.98,10700,17.97,4700,17.96,23800,17.95,19000,17.94,1800,17.93,31800,19.93,16.31,108700,196
stock,000001.SZ,2016-05-04 09:30:05.200000,10.68,10.68,10.68,10.67,10.67,10.68,439743,10.69,140100,10.7,160400,10.71,215000,10.72,118600,10.73,83500,10.74,185300,10.75,147593,10.76,139300,10.77,107700,10.67,181100,10.66,122500,10.65,230900,10.64,126000,10.63,64800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,186800,11.75,9.61,888000,948
stock,600000.SH,2016-05-04 09:30:08.000000,18.12,18.06,18.08,18.02,18.06,18.06,2800,18.08,5200,18.1,2700,18.11,11200,18.12,30139,18.13,3000,18.14,17200,18.15,25300,18.16,1000,18.17,1000,18.04,200,18.02,48800,18.01,46100,18.0,169700,17.99,1200,17.98,10700,17.97,4700,17.96,25000,17.95,25200,17.94,1800,19.93,16.31,117600,212
stock,000001.SZ,2016-05-04 09:30:09.240000,10.68,10.68,10.68,10.67,10.68,10.68,426443,10.69,140100,10.7,160400,10.71,216000,10.72,118600,10.73,83500,10.74,185300,10.75,147593,10.76,139300,10.77,107700,10.67,181100,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,186800,11.75,9.61,901300,962
stock,600000.SH,2016-05-04 09:30:11.000000,18.12,18.06,18.08,18.02,18.06,18.08,5200,18.1,3000,18.11,11200,18.12,30139,18.13,3000,18.14,17200,18.15,25300,18.16,1000,18.17,1000,18.18,10600,18.06,20300,18.05,11200,18.04,200,18.02,49800,18.01,45600,18.0,103700,17.99,1200,17.98,10700,17.97,4700,17.96,25000,19.93,16.31,120800,218
stock,000001.SZ,2016-05-04 09:30:12.160000,10.68,10.68,10.68,10.67,10.67,10.68,436143,10.69,140100,10.7,160400,10.71,216000,10.72,118600,10.73,84500,10.74,185300,10.75,147593,10.76,141500,10.77,107700,10.67,179600,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,188400,11.75,9.61,902800,964
stock,600000.SH,2016-05-04 09:30:14.000000,18.12,18.06,18.08,18.02,18.08,18.08,5100,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25300,18.16,1000,18.17,1000,18.18,11100,18.06,21200,18.05,11200,18.04,200,18.02,49800,18.01,45600,18.0,108700,17.99,1200,17.98,10700,17.97,4700,17.96,25000,19.93,16.31,120900,218
stock,000001.SZ,2016-05-04 09:30:14.890000,10.68,10.68,10.68,10.67,10.67,10.68,436643,10.69,140100,10.7,160400,10.71,216000,10.72,118600,10.73,84500,10.74,185300,10.75,147593,10.76,141500,10.77,107700,10.67,179500,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,188400,11.75,9.61,902900,964
stock,600000.SH,2016-05-04 09:30:17.000000,18.12,18.06,18.08,18.02,18.06,18.08,5100,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.06,14200,18.05,11200,18.04,200,18.03,5300,18.02,49800,18.01,55600,18.0,108700,17.99,1200,17.98,10700,17.97,4700,19.93,16.31,128200,231
stock,000001.SZ,2016-05-04 09:30:18.120000,10.68,10.68,10.68,10.67,10.67,10.68,437943,10.69,140100,10.7,160400,10.71,216000,10.72,118600,10.73,84500,10.74,185300,10.75,147593,10.76,141500,10.77,107700,10.67,177500,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,188400,11.75,9.61,908900,970
stock,600000.SH,2016-05-04 09:30:20.000000,18.12,18.06,18.08,18.02,18.06,18.08,5100,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.06,14200,18.05,11200,18.04,200,18.03,6100,18.02,49800,18.01,56600,18.0,108700,17.99,1800,17.98,10700,17.97,4700,19.93,16.31,128200,231
stock,000001.SZ,2016-05-04 09:30:20.900000,10.68,10.68,10.68,10.67,10.67,10.68,433943,10.69,140100,10.7,160400,10.71,216000,10.72,118600,10.73,84500,10.74,185300,10.75,147593,10.76,141500,10.77,107700,10.67,177000,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,189400,11.75,9.61,913400,975
stock,600000.SH,2016-05-04 09:30:23.000000,18.12,18.06,18.08,18.02,18.06,18.08,4300,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.06,13800,18.05,11200,18.04,200,18.03,6600,18.02,49800,18.01,56600,18.0,108700,17.99,1800,17.98,10700,17.97,4700,19.93,16.31,130000,234
stock,000001.SZ,2016-05-04 09:30:23.050000,10.68,10.68,10.68,10.67,10.67,10.68,433943,10.69,140100,10.7,160400,10.71,216200,10.72,118600,10.73,84500,10.74,185300,10.75,147593,10.76,141500,10.77,107700,10.67,177000,10.66,122500,10.65,230900,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,189400,11.75,9.61,913400,975
stock,600000.SH,2016-05-04 09:30:26.000000,18.12,18.06,18.08,18.02,18.06,18.08,4300,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.06,1800,18.05,11200,18.04,200,18.03,9600,18.02,49800,18.01,58600,18.0,110700,17.99,1800,17.98,11200,17.97,4700,19.93,16.31,130000,234
stock,000001.SZ,2016-05-04 09:30:27.040000,10.68,10.68,10.68,10.67,10.67,10.68,437543,10.69,140100,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185400,10.75,147593,10.76,141500,10.77,107700,10.67,175000,10.66,122500,10.65,248300,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,189400,11.75,9.61,915400,977
stock,600000.SH,2016-05-04 09:30:29.000000,18.12,18.06,18.08,18.02,18.06,18.08,4300,18.1,3000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.07,20000,18.06,11800,18.05,11200,18.04,500,18.03,9600,18.02,49800,18.01,58600,18.0,109700,17.99,1800,17.98,11200,19.93,16.31,130000,234
stock,000001.SZ,2016-05-04 09:30:30.470000,10.68,10.68,10.68,10.67,10.67,10.68,437343,10.69,140100,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185400,10.75,147593,10.76,141500,10.77,107700,10.67,174500,10.66,122500,10.65,248300,10.64,126000,10.63,65800,10.62,72900,10.61,160300,10.6,174900,10.59,72300,10.58,189400,11.75,9.61,916900,979
stock,600000.SH,2016-05-04 09:30:32.000000,18.12,18.06,18.08,18.02,18.08,18.08,3100,18.1,203000,18.11,11200,18.12,30639,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.07,20000,18.06,12400,18.05,10800,18.04,500,18.03,11600,18.02,49800,18.01,58600,18.0,109700,17.99,1800,17.98,11200,19.93,16.31,131200,236
stock,000001.SZ,2016-05-04 09:30:33.590000,10.68,10.68,10.68,10.67,10.68,10.68,405343,10.69,135200,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185400,10.75,147593,10.76,141500,10.77,107700,10.67,174500,10.66,122500,10.65,248300,10.64,126000,10.63,65800,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,948900,1013
stock,600000.SH,2016-05-04 09:30:35.000000,18.12,18.06,18.08,18.02,18.08,18.08,1500,18.1,203000,18.11,11200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.07,18500,18.06,12400,18.05,10800,18.04,500,18.03,11600,18.02,49800,18.01,58600,18.0,109700,17.99,1800,17.98,11200,19.93,16.31,134300,242
stock,000001.SZ,2016-05-04 09:30:36.560000,10.68,10.68,10.68,10.67,10.68,10.68,395343,10.69,135200,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,174500,10.66,122500,10.65,248300,10.64,126000,10.63,65800,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,958900,1024
stock,600000.SH,2016-05-04 09:30:38.000000,18.12,18.06,18.08,18.02,18.06,18.06,2600,18.08,700,18.1,203000,18.11,11200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.05,10800,18.04,500,18.03,12100,18.02,49800,18.01,58600,18.0,112700,17.99,1800,17.98,11200,17.97,4700,17.96,26600,19.93,16.31,166600,300
stock,600000.SH,2016-05-04 09:30:40.000000,18.12,18.06,18.08,18.02,18.05,18.06,2600,18.08,700,18.1,203000,18.11,10200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.05,9600,18.04,500,18.03,12100,18.02,49800,18.01,59100,18.0,112700,17.99,1800,17.98,11200,17.97,4700,17.96,26600,19.93,16.31,167800,303
stock,000001.SZ,2016-05-04 09:30:38.760000,10.68,10.68,10.68,10.67,10.68,10.68,375243,10.69,135200,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,174500,10.66,122500,10.65,248300,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,979000,1045
stock,000001.SZ,2016-05-04 09:30:41.430000,10.68,10.68,10.68,10.67,10.67,10.68,375243,10.69,135200,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,115600,10.66,122500,10.65,248300,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,1037900,1108
stock,600000.SH,2016-05-04 09:30:44.000000,18.12,18.06,18.08,18.02,18.06,18.07,100,18.08,700,18.1,203000,18.11,10200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.06,3500,18.05,9600,18.04,500,18.03,12300,18.02,54800,18.01,59100,18.0,113700,17.99,1800,17.98,11200,17.97,4700,19.93,16.31,170400,307
stock,600000.SH,2016-05-04 09:30:47.000000,18.12,18.06,18.08,18.02,18.08,18.1,203000,18.11,10200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.08,20600,18.06,3500,18.05,9600,18.04,500,18.03,12300,18.02,54800,18.01,59100,18.0,113700,17.99,1800,17.98,11200,19.93,16.31,171200,309
stock,000001.SZ,2016-05-04 09:30:45.160000,10.68,10.68,10.68,10.67,10.68,10.68,369343,10.69,135200,10.7,165400,10.71,185100,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,111700,10.66,122500,10.65,248300,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,1048800,1120
stock,000001.SZ,2016-05-04 09:30:48.440000,10.68,10.68,10.68,10.67,10.67,10.68,369143,10.69,136200,10.7,171000,10.71,185100,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,105100,10.66,122500,10.65,248300,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,1055900,1127
stock,600000.SH,2016-05-04 09:30:50.000000,18.12,18.06,18.08,18.02,18.08,18.1,203000,18.11,10200,18.12,8039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.08,3600,18.06,3500,18.05,9600,18.04,500,18.03,12300,18.02,54800,18.01,59100,18.0,113700,17.99,1800,17.98,11200,19.93,16.31,188200,339
stock,000001.SZ,2016-05-04 09:30:51.780000,10.68,10.68,10.68,10.67,10.68,10.68,368643,10.69,136200,10.7,171000,10.71,183400,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,141500,10.77,107700,10.67,105100,10.66,122500,10.65,248300,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,174900,10.59,72300,10.58,190400,11.75,9.61,1056400,1128
stock,600000.SH,2016-05-04 09:30:53.000000,18.12,18.06,18.1,18.02,18.1,18.1,199600,18.11,10200,18.12,6039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.09,1000,18.06,13100,18.05,9600,18.04,500,18.03,12300,18.02,54800,18.01,59100,18.0,113700,17.99,1800,17.98,10700,19.93,16.31,195600,353
stock,000001.SZ,2016-05-04 09:30:53.790000,10.68,10.68,10.68,10.67,10.68,10.68,368643,10.69,136200,10.7,171000,10.71,183400,10.72,118600,10.73,84500,10.74,185600,10.75,147593,10.76,142100,10.77,107700,10.67,107900,10.66,122500,10.65,251100,10.64,126000,10.63,66300,10.62,72900,10.61,162300,10.6,175600,10.59,72300,10.58,190400,11.75,9.61,1056400,1128
stock,600000.SH,2016-05-04 09:30:56.000000,18.12,18.06,18.1,18.02,18.09,18.1,199600,18.11,10200,18.12,6039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.09,200,18.07,600,18.06,13100,18.05,9600,18.04,5600,18.03,11800,18.02,54800,18.01,59100,18.0,113700,17.99,1800,19.93,16.31,196400,354
stock,000001.SZ,2016-05-04 09:30:57.380000,10.68,10.68,10.68,10.67,10.67,10.68,367943,10.69,136200,10.7,171000,10.71,183400,10.72,120600,10.73,84500,10.74,185600,10.75,148093,10.76,142100,10.77,107700,10.67,103200,10.66,122500,10.65,251100,10.64,126000,10.63,69300,10.62,74900,10.61,162800,10.6,175600,10.59,72300,10.58,190400,11.75,9.61,1061800,1133
stock,600000.SH,2016-05-04 09:30:59.000000,18.12,18.06,18.1,18.02,18.1,18.1,185200,18.11,10200,18.12,6039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.09,200,18.08,400,18.07,3600,18.06,14100,18.05,9600,18.04,5600,18.03,11800,18.02,54800,18.01,59100,18.0,113700,19.93,16.31,210800,380
stock,000001.SZ,2016-05-04 09:31:00.580000,10.68,10.68,10.68,10.67,10.68,10.68,363343,10.69,136200,10.7,171000,10.71,183400,10.72,120600,10.73,84500,10.74,185600,10.75,148093,10.76,142100,10.77,107700,10.67,77600,10.66,122500,10.65,251100,10.64,126000,10.63,69600,10.62,74900,10.61,162800,10.6,175200,10.59,72300,10.58,190400,11.75,9.61,1092200,1166
stock,600000.SH,2016-05-04 09:31:02.000000,18.12,18.06,18.1,18.02,18.1,18.1,184200,18.11,10200,18.12,6039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.09,200,18.08,900,18.07,3600,18.06,15400,18.05,10100,18.04,5600,18.03,8800,18.02,54800,18.01,57100,18.0,113700,19.93,16.31,211800,382
stock,000001.SZ,2016-05-04 09:31:03.360000,10.68,10.68,10.68,10.67,10.68,10.68,352543,10.69,136200,10.7,171000,10.71,183400,10.72,120600,10.73,84500,10.74,185600,10.75,148093,10.76,142100,10.77,107700,10.67,88300,10.66,122500,10.65,251100,10.64,126000,10.63,69600,10.62,74900,10.61,162800,10.6,182200,10.59,72300,10.58,190400,11.75,9.61,1109600,1184
stock,600000.SH,2016-05-04 09:31:05.000000,18.12,18.06,18.1,18.02,18.1,18.1,179700,18.11,10200,18.12,6039,18.13,3000,18.14,17200,18.15,25800,18.16,1000,18.17,1500,18.18,11100,18.19,30000,18.09,5100,18.08,900,18.07,3600,18.06,35400,18.05,10100,18.04,6900,18.03,8800,18.02,54800,18.01,57100,18.0,113700,19.93,16.31,216300,390
stock,000001.SZ,2016-05-04 09:31:06.560000,10.68,10.68,10.68,10.67,10.68,10.68,351943,10.69,136200,10.7,171000,10.71,183400,10.72,120600,10.73,84500,10.74,185600,10.75,148093,10.76,142100,10.77,107700,10.67,88300,10.66,123500,10.65,251100,10.64,126000,10.63,69600,10.62,74900,10.61,167800,10.6,182200,10.59,72300,10.58,190400,11.75,9.61,1112200,1187
