类型,WindCode,日期时间,委托价格,委托数量,委托类别,委托代码
order,000001.SZ,2016-05-04 09:30:00.010000,10.68,2300,0,S
order,000001.SZ,2016-05-04 09:30:00.030000,11.69,2800,0,S
order,000001.SZ,2016-05-04 09:30:00.060000,0.0,14100,0,C
order,000001.SZ,2016-05-04 09:30:00.070000,10.67,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.090000,10.73,4000,0,S
order,000001.SZ,2016-05-04 09:30:00.120000,10.49,2500,0,B
order,000001.SZ,2016-05-04 09:30:00.120000,10.99,500,0,S
order,000001.SZ,2016-05-04 09:30:00.130000,11.36,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.140000,10.61,5000,0,B
order,000001.SZ,2016-05-04 09:30:00.150000,11.75,10000,0,S
order,000001.SZ,2016-05-04 09:30:00.150000,10.91,400,0,S
order,000001.SZ,2016-05-04 09:30:00.160000,10.63,2000,0,B
order,000001.SZ,2016-05-04 09:30:00.170000,10.56,2900,0,B
order,000001.SZ,2016-05-04 09:30:00.180000,0.0,1500,0,C
order,000001.SZ,2016-05-04 09:30:00.190000,10.69,400,0,S
order,000001.SZ,2016-05-04 09:30:00.200000,11.59,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.210000,11.26,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.210000,10.98,3000,0,S
order,000001.SZ,2016-05-04 09:30:00.230000,10.68,4000,0,B
order,000001.SZ,2016-05-04 09:30:00.230000,10.98,2900,0,S
order,000001.SZ,2016-05-04 09:30:00.240000,0.0,5000,0,C
order,000001.SZ,2016-05-04 09:30:00.260000,10.77,800,0,S
order,000001.SZ,2016-05-04 09:30:00.270000,10.0,2000,0,B
order,000001.SZ,2016-05-04 09:30:00.270000,11.26,500,0,S
order,000001.SZ,2016-05-04 09:30:00.270000,11.16,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.270000,11.18,2000,0,S
order,000001.SZ,2016-05-04 09:30:00.270000,10.68,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.280000,10.73,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.280000,10.61,32200,0,B
order,000001.SZ,2016-05-04 09:30:00.280000,10.68,2700,0,S
order,000001.SZ,2016-05-04 09:30:00.280000,0.0,10000,0,C
order,000001.SZ,2016-05-04 09:30:00.300000,10.69,800,0,S
order,000001.SZ,2016-05-04 09:30:00.300000,10.71,4000,0,S
order,000001.SZ,2016-05-04 09:30:00.300000,10.75,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.300000,10.58,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.310000,10.75,1600,0,S
order,000001.SZ,2016-05-04 09:30:00.330000,0.0,700,0,C
order,000001.SZ,2016-05-04 09:30:00.330000,10.76,3000,0,S
order,000001.SZ,2016-05-04 09:30:00.340000,10.75,300,0,S
order,000001.SZ,2016-05-04 09:30:00.330000,0.0,100,0,C
order,000001.SZ,2016-05-04 09:30:00.340000,11.39,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.350000,11.66,500,0,S
order,000001.SZ,2016-05-04 09:30:00.350000,11.01,400,0,S
order,000001.SZ,2016-05-04 09:30:00.360000,10.68,600,0,S
order,000001.SZ,2016-05-04 09:30:00.370000,10.71,31100,0,S
order,000001.SZ,2016-05-04 09:30:00.400000,11.07,800,0,S
order,000001.SZ,2016-05-04 09:30:00.430000,11.68,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.430000,10.8,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.430000,11.75,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.460000,10.6,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.470000,10.68,50000,0,S
order,000001.SZ,2016-05-04 09:30:00.480000,10.71,2000,0,S
order,000001.SZ,2016-05-04 09:30:00.480000,10.68,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.490000,11.37,800,0,S
order,000001.SZ,2016-05-04 09:30:00.490000,11.73,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.490000,10.68,7000,0,S
order,000001.SZ,2016-05-04 09:30:00.500000,10.98,300,0,S
order,000001.SZ,2016-05-04 09:30:00.500000,11.19,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.500000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:00.490000,10.56,42300,0,B
order,000001.SZ,2016-05-04 09:30:00.500000,10.64,400,0,B
order,000001.SZ,2016-05-04 09:30:00.500000,10.68,30000,0,S
order,000001.SZ,2016-05-04 09:30:00.520000,10.8,800,0,S
order,000001.SZ,2016-05-04 09:30:00.540000,10.97,1800,0,S
order,000001.SZ,2016-05-04 09:30:00.540000,10.73,10000,0,S
order,000001.SZ,2016-05-04 09:30:00.540000,10.97,1600,0,S
order,000001.SZ,2016-05-04 09:30:00.550000,11.23,800,0,S
order,000001.SZ,2016-05-04 09:30:00.560000,10.69,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.590000,10.73,2000,0,S
order,000001.SZ,2016-05-04 09:30:00.590000,10.64,500,0,B
order,000001.SZ,2016-05-04 09:30:00.610000,11.75,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.610000,10.73,200,0,S
order,000001.SZ,2016-05-04 09:30:00.620000,10.85,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.640000,10.62,200,0,B
order,000001.SZ,2016-05-04 09:30:00.640000,10.52,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.640000,10.61,300,0,B
order,000001.SZ,2016-05-04 09:30:00.650000,10.72,600,0,S
order,000001.SZ,2016-05-04 09:30:00.650000,11.74,800,0,S
order,000001.SZ,2016-05-04 09:30:00.640000,0.0,700,0,C
order,000001.SZ,2016-05-04 09:30:00.660000,10.99,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.670000,11.17,3000,0,S
order,000001.SZ,2016-05-04 09:30:00.690000,10.7,800,0,S
order,000001.SZ,2016-05-04 09:30:00.690000,10.75,600,0,S
order,000001.SZ,2016-05-04 09:30:00.700000,10.71,1800,0,S
order,000001.SZ,2016-05-04 09:30:00.700000,10.97,400,0,S
order,000001.SZ,2016-05-04 09:30:00.700000,10.55,200,0,B
order,000001.SZ,2016-05-04 09:30:00.710000,10.88,100,0,S
order,000001.SZ,2016-05-04 09:30:00.760000,11.45,500,0,S
order,000001.SZ,2016-05-04 09:30:00.770000,10.85,200,0,S
order,000001.SZ,2016-05-04 09:30:00.780000,10.53,200,0,B
order,000001.SZ,2016-05-04 09:30:00.790000,10.73,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.790000,10.6,2500,0,B
order,000001.SZ,2016-05-04 09:30:00.790000,10.55,2500,0,B
order,000001.SZ,2016-05-04 09:30:00.800000,10.61,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.800000,10.85,2000,0,S
order,000001.SZ,2016-05-04 09:30:00.820000,10.68,400,0,S
order,000001.SZ,2016-05-04 09:30:00.820000,10.68,5000,0,S
order,000001.SZ,2016-05-04 09:30:00.830000,10.95,500,0,S
order,000001.SZ,2016-05-04 09:30:00.830000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:00.830000,10.61,900,0,B
order,000001.SZ,2016-05-04 09:30:00.840000,10.64,100000,0,B
order,000001.SZ,2016-05-04 09:30:00.860000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:00.910000,10.69,300,0,B
order,000001.SZ,2016-05-04 09:30:00.930000,10.9,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.930000,10.63,1000,0,B
order,000001.SZ,2016-05-04 09:30:00.930000,10.63,300,0,B
order,000001.SZ,2016-05-04 09:30:00.930000,9.61,2600,0,B
order,000001.SZ,2016-05-04 09:30:00.930000,10.51,500,0,B
order,000001.SZ,2016-05-04 09:30:00.930000,10.64,5700,0,B
order,000001.SZ,2016-05-04 09:30:00.950000,10.78,1100,0,S
order,000001.SZ,2016-05-04 09:30:00.950000,10.68,1000,0,S
order,000001.SZ,2016-05-04 09:30:00.970000,10.73,400,0,S
order,000001.SZ,2016-05-04 09:30:00.960000,10.68,100,0,S
order,000001.SZ,2016-05-04 09:30:00.970000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:00.970000,10.68,5000,0,B
order,000001.SZ,2016-05-04 09:30:00.980000,10.68,4300,0,S
order,000001.SZ,2016-05-04 09:30:00.980000,10.68,3000,0,S
order,000001.SZ,2016-05-04 09:30:01.000000,10.71,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.030000,10.6,1000,0,B
order,000001.SZ,2016-05-04 09:30:01.030000,10.77,500,0,S
order,000001.SZ,2016-05-04 09:30:01.040000,0.0,700,0,C
order,000001.SZ,2016-05-04 09:30:01.040000,10.68,20000,0,S
order,000001.SZ,2016-05-04 09:30:01.050000,10.5,2500,0,B
order,000001.SZ,2016-05-04 09:30:01.070000,10.45,500,0,B
order,000001.SZ,2016-05-04 09:30:01.080000,0.0,900,0,C
order,000001.SZ,2016-05-04 09:30:01.090000,10.75,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.100000,10.5,1500,0,B
order,000001.SZ,2016-05-04 09:30:01.120000,10.71,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.120000,10.7,49800,0,S
order,000001.SZ,2016-05-04 09:30:01.120000,10.9,2000,0,S
order,000001.SZ,2016-05-04 09:30:01.130000,10.78,2000,0,S
order,000001.SZ,2016-05-04 09:30:01.140000,10.5,100,0,B
order,000001.SZ,2016-05-04 09:30:01.160000,10.58,2100,0,B
order,000001.SZ,2016-05-04 09:30:01.160000,9.61,4700,0,B
order,000001.SZ,2016-05-04 09:30:01.190000,10.71,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.190000,10.68,700,0,S
order,000001.SZ,2016-05-04 09:30:01.200000,10.73,14900,0,B
order,000001.SZ,2016-05-04 09:30:01.200000,11.6,5000,0,S
order,000001.SZ,2016-05-04 09:30:01.210000,10.69,5000,0,B
order,000001.SZ,2016-05-04 09:30:01.210000,10.76,600,0,S
order,000001.SZ,2016-05-04 09:30:01.220000,10.5,500,0,B
order,000001.SZ,2016-05-04 09:30:01.220000,10.65,100000,0,B
order,000001.SZ,2016-05-04 09:30:01.220000,10.45,2500,0,B
order,000001.SZ,2016-05-04 09:30:01.230000,10.88,500,0,S
order,000001.SZ,2016-05-04 09:30:01.240000,10.73,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.250000,10.69,300,0,B
order,000001.SZ,2016-05-04 09:30:01.260000,10.69,2000,0,B
order,000001.SZ,2016-05-04 09:30:01.260000,10.53,2000,0,B
order,000001.SZ,2016-05-04 09:30:01.300000,10.3,5000,0,B
order,000001.SZ,2016-05-04 09:30:01.300000,10.68,100,0,S
order,000001.SZ,2016-05-04 09:30:01.300000,11.7,100,0,S
order,000001.SZ,2016-05-04 09:30:01.300000,10.6,800,0,B
order,000001.SZ,2016-05-04 09:30:01.310000,10.79,600,0,S
order,000001.SZ,2016-05-04 09:30:01.360000,10.85,100,0,S
order,000001.SZ,2016-05-04 09:30:01.360000,10.63,300,0,B
order,000001.SZ,2016-05-04 09:30:01.370000,10.58,2000,0,B
order,000001.SZ,2016-05-04 09:30:01.380000,10.77,500,0,S
order,000001.SZ,2016-05-04 09:30:01.390000,10.74,5000,0,S
order,000001.SZ,2016-05-04 09:30:01.400000,10.59,700,0,B
order,000001.SZ,2016-05-04 09:30:01.400000,11.75,3600,0,S
order,000001.SZ,2016-05-04 09:30:01.420000,10.78,1000,0,S
order,000001.SZ,2016-05-04 09:30:01.420000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:01.440000,11.0,5800,0,S
order,000001.SZ,2016-05-04 09:30:01.460000,10.63,4600,0,B
order,000001.SZ,2016-05-04 09:30:01.460000,11.75,7000,0,S
order,000001.SZ,2016-05-04 09:30:01.490000,10.64,3000,0,B
order,000001.SZ,2016-05-04 09:30:01.500000,10.74,100,0,S
order,000001.SZ,2016-05-04 09:30:01.500000,10.78,3800,0,S
order,000001.SZ,2016-05-04 09:30:01.500000,10.79,2000,0,S
order,000001.SZ,2016-05-04 09:30:01.540000,10.71,200,0,S
order,000001.SZ,2016-05-04 09:30:01.550000,10.68,39000,0,S
order,000001.SZ,2016-05-04 09:30:01.550000,10.68,10000,0,B
order,000001.SZ,2016-05-04 09:30:01.560000,10.57,800,0,B
order,000001.SZ,2016-05-04 09:30:01.580000,10.68,3600,0,S
order,000001.SZ,2016-05-04 09:30:01.580000,10.68,100,0,S
order,000001.SZ,2016-05-04 09:30:01.590000,10.72,300,0,S
