类型,WindCode,成交日期时间,成交价格,成交数量,成交金额,买卖方向
transaction,000001.SZ,2016-05-04 09:30:00.220000,10.68,857,9152.0,83
transaction,000001.SZ,2016-05-04 09:30:00.240000,10.68,1443,15411.0,83
transaction,000001.SZ,2016-05-04 09:30:00.300000,10.68,1000,10680.0,83
transaction,000001.SZ,2016-05-04 09:30:00.330000,0.0,1500,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.340000,0.0,5000,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.360000,10.68,2557,27308.0,83
transaction,000001.SZ,2016-05-04 09:30:00.360000,10.68,100,1068.0,83
transaction,000001.SZ,2016-05-04 09:30:00.370000,10.68,43,459.0,83
transaction,000001.SZ,2016-05-04 09:30:00.370000,0.0,10000,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.390000,0.0,700,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.400000,0.0,100,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.400000,10.68,600,6408.0,83
transaction,000001.SZ,2016-05-04 09:30:00.480000,10.68,257,2744.0,83
transaction,000001.SZ,2016-05-04 09:30:00.480000,10.68,500,5340.0,83
transaction,000001.SZ,2016-05-04 09:30:00.480000,10.68,25500,272340.0,83
transaction,000001.SZ,2016-05-04 09:30:00.480000,10.68,500,5340.0,83
transaction,000001.SZ,2016-05-04 09:30:00.490000,10.68,4900,52332.0,83
transaction,000001.SZ,2016-05-04 09:30:00.490000,10.68,2000,21360.0,83
transaction,000001.SZ,2016-05-04 09:30:00.490000,10.68,1100,11748.0,83
transaction,000001.SZ,2016-05-04 09:30:00.490000,10.68,11300,120684.0,83
transaction,000001.SZ,2016-05-04 09:30:00.490000,10.68,3943,42111.0,83
transaction,000001.SZ,2016-05-04 09:30:00.500000,10.68,57,608.0,83
transaction,000001.SZ,2016-05-04 09:30:00.500000,10.68,1000,10680.0,83
transaction,000001.SZ,2016-05-04 09:30:00.900000,0.0,500,0.0,32
transaction,000001.SZ,2016-05-04 09:30:00.940000,10.68,300,3204.0,66
transaction,000001.SZ,2016-05-04 09:30:01.010000,10.68,3643,38907.0,66
transaction,000001.SZ,2016-05-04 09:30:01.010000,10.68,1357,14492.0,66
transaction,000001.SZ,2016-05-04 09:30:01.090000,0.0,900,0.0,32
transaction,000001.SZ,2016-05-04 09:30:01.220000,10.68,5643,60267.0,66
transaction,000001.SZ,2016-05-04 09:30:01.220000,10.68,500,5340.0,66
transaction,000001.SZ,2016-05-04 09:30:01.220000,10.68,8757,93524.0,66
transaction,000001.SZ,2016-05-04 09:30:01.220000,10.68,5000,53400.0,66
transaction,000001.SZ,2016-05-04 09:30:01.270000,10.68,300,3204.0,66
transaction,000001.SZ,2016-05-04 09:30:01.270000,10.68,2000,21360.0,66
